語,發音,漢字、原文,中文意思
しんじる．ずる,0,信じる．信ずる,相信、信任
しんしん,1,心身,身心
しんじん,0,新人,新人
しんせい,0,申請,申請
しんせい,0,神聖,神聖
じんせい,1,人生,人生
しんせき,0,親戚,親戚
しんせつ,1,親切,熱情、親切
しんせん,0,新鮮,新鮮
しんぜん,0,親善,友好、親善
しんそう,0,真相,真相
しんぞう,0,心臓,心臟
じんぞう,0,人造,人造
じんそく,0,迅速,迅速、馬上
しんたい,1,身体,身體
しんだい,1,寝台,床
じんたい,1,人体,人體
しんだん,0,診断,診斷
しんちく,0,新築,新建
しんちゅう,0,心中,心中、心裡
しんちょう,0,身長,身高
しんちょう,0,慎重,小心、慎重
しんてい,0,進呈,奉送、贈送
しんてん,0,進展,進展
しんでん,0,神殿,神殿
しんど,1,進度,進度
しんどう,1,振動,振動
しんにゅう,0,侵入,闖入、侵入
しんにゅうせい,3,新入生,（學校的）新生
しんにん,0,信任,信任
しんねん,1,信念,信念
しんぱい（する）,0,心配（する）,擔心、不安
しんぱん,0,審判,審判、裁判
しんぴ,1,神秘,神秘
じんぶつ,1,人物,人物、人才
しんぶん,0,新聞,報紙
じんぶんかがく,5,人文科学,人文科學
しんぶんしゃ,3,新聞社,報社
しんぽ,1,進歩,進步
しんぼう,1,辛抱,忍受、耐心
じんみん,3,人民,人民、市民、國民
じんめい,0,人命,人命
しんや,1,深夜,深夜
しんゆう,0,親友,好朋友、親友
しんよう,0,信用,信用、信任
しんらい,0,信頼,信賴
しんり,1,心理,心理
しんり,1,真理,眞理、道理
しんりゃく,0,侵略,侵略
しんりょう,0,診療,診療
しんりん,0,森林,森林
しんるい,0,親類,親戚
じんるい,1,人類,人類
しんろ,1,針路,方向、航路、出路
しんろ,1,進路,出路、前進的道路
しんわ,0,神話,神話
す,1,酢,醋
す,1,巣,巢、窩
ず,0,図,圖表、繪圖
すい,1,粋,精華、精粹
すいえい,0,水泳,游泳
すいげん,0,水源,水源
すいさん,0,水産,水產
すいじ,0,炊事,做飯、烹調
すいじゅん,0,水準,水準、水平
すいじょうき,3,水蒸気,水蒸氣
すいしん,0,推進,推動、推進
すいせん,0,推薦,推薦
すいせん,0,水洗,用水洗刷
すいそ,1,水素,氫、氫氣
すいそう,0,吹奏,吹奏
すいそく,0,推測,推測、猜測
すいちょく,0,垂直,垂直
スイッチ,1,switch,開關
すいてい,0,推定,推定
すいてき,0,水滴,水滴、水珠
すいでん,0,水田,水田
すいとう,0,水筒,水壺
すいどう,0,水道,自來水（管）
ずいひつ,0,随筆,隨筆
すいぶん,1,水分,水分
ずいぶん,1,随分,相當、很、非常
すいへい,0,水平,水平
すいへいせん,0,水平線,地平線、水平線
すいみん,0,睡眠,睡眠
すいめん,0,水面,水面
すいよう/すい,0,水曜/水,3/1
すいようび,3,水曜日,星期三
すいり,1,推理,推理
すう,0,吸う,吸、吸入
すう,1,数,數目、數量
すうがく,0,数学,數學
すうし,0,数詞,數詞
すうじ,0,数字,數字
ずうずうしい,5,図々しい,厚顏的、無恥的
スーツ,1,suit,套裝
スーツケース,4,suitcase,行李箱
ずうっと,0,ずうっと,一直
スーパー（マーケット）,,supermarket,超級市場
すうはい,0,崇拝,崇拜
スープ,1,soup,湯
すえ,0,末,末尾
すえつける,4,据付ける,安裝、安設
すえっこ,0,末っ子,老么
すえる,0,据える,安放、擺設、使…坐在
スカート,2,skirt,裙子
スカーフ,2,scarf,領巾、紗巾
すがすがしい,5,清々しい,爽快的、清爽
すがた,1,姿,姿態、身段
ずかん,0,図鑑,圖鑑
すき,2,好き,喜歡、喜愛、愛好、嗜好
すき,0,隙,空隙、縫隙
すぎ,,過ぎ,超過〜、(時間等)過了
すぎ,0,杉,杉木
スキー,2,ski,滑雪(板)
すききらい,2,好き嫌い,好惡
すきずき,2,好き好き,不同的愛好
すきとおる,3,透通る,透明、清澈
すきま,0,隙間,間隙、空暇
すぎる,2,過ぎる,經過
すぎる,,過ぎる,過於
すく,0,空く「おなかがすく」,餓
すく,0,空く「すいた電車」,空
すぐ（に）,1,直ぐ（に）,馬上、立刻
すくい,0,救い,救、救助
すくう,0,救う,拯救、挽救
すくう,0,掬う「水を〜」,捧、舀
スクール,2,school,學校
すくない,3,少ない,少、不多
すくなくとも,2,少なくとも,至少
すぐに,1,直ぐに,馬上、立刻
スクリーン,3,screen,螢幕
すぐれる,3,優れる,優秀、傑出
ずけい,0,図形,圖形
スケート,0,skate,溜冰鞋
スケジュール,2,schedule,日程表、行程
すごい,2,すごい,可怕、厲害、非常
すこし,2,少し,稍微、一點、少量
すこしも,0,少しも,一點也（不）
すごす,2,過ごす,度過、生活、過量
すこやか,2,健やか,健壯、健康
すじ,1,筋,筋、血管
すず,1,鈴,鈴鐺
すすぐ,0,"濯ぐ
口を濯ぐ
洗濯物を濯ぐ",洗刷
すずしい,3,涼しい,涼快、涼爽
すすみ,0,進み,進度、進步
すすむ,0,進む,前進、進展
すずむ,2,涼む,乘涼、納涼
すすめ,0,勧め,勸
すすめる,0,進める,向前進、進行、提升
すすめる,0,勧める,勸告、建議
すそ,0,裾,下襟、山腳
スター,2,star,星星、明星
スタート,0,start,開始、出發
スタイル,2,style,樣式、格式、姿態、風采、文體
スタジオ,0,studio,中控室、製片廠、錄音室、攝影棚
すたれる,0,廃れる,廢棄、衰退、過時
スタンド,0,stand,觀眾席、架、臺
スチーム,2,steam,蒸汽、水蒸汽
スチュワーデス,3,stewardess,空中小姐
ずつ,,ずつ,每、各（接數詞後表平均）
ずつう,0,頭痛,頭痛
すっかり,3,すっかり,完全、全部
すっきり,3,すっきり,舒暢、通順
"すっと
很顺滑，顺畅",0,すっと,迅速，一下子
ずっと,0,ずっと,一直
すっぱい,3,酸っぱい,酸
ステーキ,2,steak,牛排
ステージ,2,stage,舞台、階段
すてき,0,素敵,極好、極漂亮
すでに,1,既に,以前、已經、將要
すてる,0,捨てる,丟掉、拋棄、扔掉
すてる,0,棄てる,丟掉、拋棄、扔掉
ステレオ,0,stereo,立體聲
スト,1,strike,罷工
ストーブ,2,stove,火爐
ストッキング,2,stocking,絲襪、長統襪
ストップ,2,stop,停止
ストライキ,3,strike,罷工
ストレス,2,stress,(精神)壓力
ストロー,2,straw,吸管
"ストロボ
比フラッシュ专业",0,strobo,閃光燈
すな,0,砂,沙子
すなお,1,素直,天真、誠摯、老實
すなわち,2,即ち,就是
ずのう,0,頭脳,頭腦
すばしこい,4,すばしこい,敏捷、靈活
すばやい,3,素早い,靈活
すばらしい,4,素晴らしい,絕佳、了不起
ずばり,2,ずばり,直接了當
スピーカー,0,speaker,揚聲器、喇叭
スピーチ,2,speach,演講
スピード,0,speed,速度
ずひょう,0,図表,圖表
スプーン,2,spoon,匙子、湯匙
ずぶぬれ,0,ずぶ濡れ,濕透、淋透
スプリング,0,spring,彈簧、春天
スペース,2,space,空間、餘地、場地、太空
すべて,1,全て,全部、一切
すべる,2,滑る,滑
スポーツ,2,sports,(體育)運動
スポーツカー,4,sportscar,跑車、運動車
ズボン,1,jupon,褲子
スマート,2,smart,苗條、洗練、時髦瀟灑、漂亮、
すまい,1,住まい,住所、住處
すます,2,"澄ます、清ます
澄清，端着，装一本正经",使澄清、專心
すます,2,済ます,做完、還清
すませる,3,済ませる,完成
すまない,3,済まない,不好意思
すみ,1,隅、角,角落
すみ,2,墨,墨
ずみ,,済み,完成
すみません。,4,済みません。,對不起、麻煩
すみやか,2,速やかに,迅速地
すむ,1,住む,居住
すむ,1,済む,結束、終了
すむ,1,澄む、清む,清澈
すもう,0,相撲,相撲
スライド,0,slide,滑動、幻燈機、幻燈片
ずらす,2,"ずらす
机を右の方にずらしてください。
ラッシュを避けるために出勤時間をずらす。",滑動
スラックス,2,slacks,寬鬆的便褲、西裝褲
ずらっと,2,ずらっと,並列、羅列
ずらり,2,ずらり,一大排
すり,1,掏摸,扒手
スリッパ,1,slipper,拖鞋
する,0,為る「行なう」,做
する,1,刷る,印刷
する,1,擦る,擦過、研磨
ずるい,2,狡い,狡猾
ずるずる,1,ずるずる,滑溜的、拖延、哧溜
すると,0,すると,於是、然後
するどい,3,鋭い,銳利的、敏銳
ずれ,2,滑れ,不吻合、偏差
すれちがい,0,擦れ違い,擦身而過
すれちがう,4,擦れ違う,擦身而過
すれる,2,"擦れる
旧了，变世故了
靴が擦れている。
彼は擦れた人だ",摩擦
ずれる,2,滑れる,離開(原來位置)、離題、錯開
すわる,0,座る,坐
すんなり,3,すんなり,順利地
すんぽう,0,寸法,長度、尺寸
せ,1,背,背、身長
せい,1,背,身長
せい,,製,製品、產品
せい,1,性,性別、性、性格、本性
せい,1,正,正
せい,1,生,生、活著
せい,1,姓,姓氏
せい,1,所為,原因、理由
せい,,性,性質、性
せい,,制,制、制度
ぜい,1,税,稅金
せいいく,0,生育、成育,生育、生長、培育
せいか,1,成果,成果、成就
せいかい,0,正解,正確的答案
せいかく,0,正確,正確
せいかく,0,性格,性格
せいかつ（する）,0,生活（する）,生活
ぜいかん,0,税関,關稅
せいき,1,世紀,世紀
せいき,1,正規,正規的
せいぎ,1,正義,正道
せいきゅう,0,請求,請求
ぜいきん,0,税金,稅金
せいけい,0,生計,生計
せいけつ,0,清潔,乾淨
せいけん,0,政権,政權、政府
せいげん,3,制限,限制
せいこう,0,成功,成功
せいこう,0,精巧,精密的、精緻
せいざ,0,星座,星座
せいさい,0,制裁,制裁、懲罰
せいさく,0,製作、制作,製作、製造
せいさく,0,政策,政策
せいさん,0,精算,結算、細算、核算
せいさん（する）,0,生産（する）,生產、製造
せいし,0,静止,靜止
せいし,1,生死,生與死
せいじ,0,政治,政治
せいしき,0,正式,正式
せいしつ,0,性質,天性、性質
せいじつ,0,誠実,誠實
せいじゅく,0,成熟,成熟
せいしゅん,0,青春,青春
せいじゅん,0,清純,純真、純潔
せいしょ,0,清書,謄寫
せいしょ,1,聖書,聖經
せいじょう,0,正常,正常、普通
せいしょうねん,3,青少年,青少年
せいしん,1,精神,心、精神
せいじん,0,成人,成年人
せいすう,3,整数,整數
せいする,3,制する,制止、控制
せいぜい,1,精々,盡量、最多
せいせき,0,成績,成績
せいぜん,0,整然,有條不紊、整整齊齊
せいそう,0,清掃,清掃、打掃
せいそう,0,盛装,盛裝、打扮
せいそう,0,正装,穿禮服
せいぞう,0,製造,製造
せいぞん,0,生存,生存
せいだい,0,盛大,盛大
せいだく,0,清濁,清濁、辨明是非
ぜいたく,3,贅沢,奢侈、豪華
せいちょう,0,成長/生長,成長/生長
せいてい,0,制定,制定
せいてき,0,静的,靜態的
せいてつ,0,製鉄,煉鐵
せいてん,0,晴天,晴天
せいと,1,生徒,學生
せいど,1,制度,制度
せいとう,0,政党,政黨
せいとう,0,正当,正當
せいねん,0,青年,青年
せいねん,0,成年,成年
せいねんがっぴ,5,生年月日,出生年月日
せいのう,0,性能,性能
せいび,1,整備,整備、維修
せいひん,0,製品,製品
せいふ,1,政府,政府
せいふく,0,制服,制服
せいふく,0,征服,征服
せいぶつ,1,生物,生物
せいぶん,1,成分,成份
せいべつ,0,性別,性別
せいほう,0,製法,製造方法
せいほうけい,3,正方形,正方形
せいみつ,0,精密,精密
ぜいむしょ,0,税務署,稅務署、税務局
せいめい,1,生命,生命
せいめい,0,声明,聲明
せいめい,1,姓名,姓名
せいもん,0,正門,正門、大門
せいやく,0,制約,制約、限制
せいよう,1,西洋,西洋、歐美
せいり,1,整理,整理、收拾
せいり,1,生理,生理
せいりつ,0,成立,成立、組成
せいりょく,1,勢力,勢力、威力、集體
せいれき,0,西暦,西暦
せいれつ,0,整列,整隊、排隊
セーター,1,sweater,毛衣
セール,1,sale,出售、降價出售
せおう,2,背負う,擔負
せかい,1,世界,世界、全球
せかす,2,急かす,催促
せがれ,0,倅,兒子
せき,1,席,席位
せき,2,咳,咳嗽
せき,,隻,隻
せきたん,3,石炭,煤炭
せきどう,0,赤道,赤道
せきにん,0,責任,責任
せきむ,1,責務,責任和義務
せきゆ,0,石油,石油
セクション,1,section,部門、章節
せけん,1,世間,世上
せじ,0,世辞,恭維話
ぜせい,0,是正,改正、改掉
せたい,1,世帯,戶、家庭
せだい,0,世代,世代
せつ,0,説,學說、說法
せつ,1,節,時候、節
せっかい,0,切開,切開、割開
せっかく,0,折角,特意、好不容易
せっきょくてき,0,積極的,積極的
せっきん,0,接近,接近
セックス,1,sex,性、性別、性交
せっけい,0,設計,設計
せっけん,0,石鹸,肥皂
せつじつ,0,"切実
重要，紧迫，同时带情绪
切実な問題
切実な願い
切実に感じる",切實、切迫
せっしょく,0,接触,接觸、碰撞
せっする,0,接する,接觸、接壤
せっせと,1,せっせと,拼命地
せつぞく,0,接続,接續
せつぞくし,0,接続詞,連接詞
ぜったいに,0,絶対（に）,絕對
せっち,1,設置,設置、安裝
せっちゅう,0,"折衷
両者の意見を取り入れた折衷案
意見を折衷する
折衷的な方法",折衷
せってい,0,設定,設立、制定
セット,1,set,一套、舞台布景、一局、套餐、調整
せっとく,0,説得,說服、勸導
せつない,3,切ない,喘不過氣來、難過的
ぜっぱん,0,絶版,絕版
せつび,1,設備,設備、設置
ぜつぼう,0,絶望,絕望、無望
せつめい,0,説明,說明
ぜつめつ,0,絶滅,滅絕、根絕
せつやく,0,節約,節約、節省
せつりつ,0,設立,設立、成立
せともの,0,瀬戸物,陶瓷器
せなか,0,背中,脊梁、脊背
ぜひ,1,是非,是非、務必、一定
ぜひとも,1,是非とも,務必、無論如何
せびろ,0,背広,男士西服
せまい,2,狭い,(面積)狹小、狭窄的
せまる,2,迫る,迫近、臨近
ゼミ,1,Seminar,討論會、研究會、研究班
せめ,2,攻め,進攻、圍攻
せめて,1,せめて,至少
せめる,2,攻める/責める,攻、攻打/責備、責難、拷問
セメント,0,cement,水泥
ゼリー,1,jelly,果凍、膠質狀
せりふ,0,台詞,台詞、對白
セレモニー,1,ceremony,典禮、儀式
ゼロ,1,zero,零
せろん,1,世論,世論、輿論
せわ（する）,2,世話（する）,幫忙、照顧
せん,1,千,千
せん,1,線,線、路線
せん,1,栓,栓、塞子
せん,,船,船
せん,,戦,戦
せん,1,先,先、以前、占先
ぜん,1,善,善行、好事
ぜん,,前,前
ぜん,0,膳,方盤、食案
ぜん,1,禅,禪、打坐
ぜん,1,全,全
ぜん,1,前,上、前
せんい,1,繊維,纖維
ぜんいん,0,全員,全體人員
ぜんかい,0,全快,痊癒
せんきょ,1,選挙,選舉、推選
せんきょう,0,宣教,宣傳宗教、傳教
せんげつ,1,先月,上個月
せんげん,0,宣言,宣言、宣告
ぜんご,1,前後,前後、左右
せんこう,0,専攻,專攻、專門研究
せんこう,0,先行,先行、走在前面
せんこう,0,選考,選拔登用
ぜんこく,1,全国,全國
せんさい,0,戦災,戰爭災害
せんざい,0,洗剤,洗衣粉、洗衣精
せんじつ,0,先日,前幾天、前些日子
ぜんしゃ,1,前者,前者
せんしゅ,1,選手,選手
せんしゅう,0,先週,上星期
せんしゅう,0,専修,專攻、專修
ぜんしゅう,0,全集,全集
せんじゅつ,0,戦術,戰術、策略
ぜんしん,0,全身,全身、渾身
ぜんしん,0,前進,前進、提高
センス,1,sense,感覺、眼光
せんす,0,扇子,扇子
せんすい,0,潜水,潛水
せんせい,3,先生,老師、教師
せんせい,0,専制,專制獨裁
ぜんせい,0,全盛,全盛
ぜんぜん,0,全然,一點也、完全、根本
せんせんげつ,0,先々月,上上個月
せんせんしゅう,0,先々週,上上個星期
せんぞ,1,先祖,始祖
せんそう（する）,0,戦争（する）,戰爭
センター,1,center,中心、中央
せんだい,0,先代,上一代
ぜんたい,0,全体,全身、整體
せんたく,0,選択,挑選
せんたく（する）,0,洗濯（する）,洗濯、洗衣服
"せんだって
比この前、この間正式",0,先達て,不久前、前幾天（比「この前」更正式）
せんたん,0,先端,頂端
センチ（メートル）,,centimètre,公分
せんちゃく,0,先着,先到
ぜんてい,0,前提,前提條件
せんでん,0,宣伝,宣傳
せんてんてき,0,先天的,先天的
ぜんと,1,前途,前途、前程
せんとう,0,先頭/銭湯/戦闘,排頭、最前列
せんにゅう,0,潜入,潛入
せんぱい,0,先輩,前輩
せんぱく,1,船舶,船隻
ぜんはん,0,前半,前半部、前一半
ぜんぱん,0,全般,全面、全體
ぜんぶ,1,全部,全部、全體
せんぷうき,3,扇風機,電扇
ぜんめつ,0,全滅,全殲、完全消滅
せんめん,0,洗面,洗臉
せんもん,0,専門,專業
せんよう,0,専用,專門使用
せんりょう,0,占領,佔領
ぜんりょう,0,善良,善良
せんりょく,1,戦力,軍事力量
ぜんりょく,1,全力,全部力量、全力
ぜんれい,0,前例,前例、慣例
せんろ,1,線路,軌道、路線
そい,,沿い,沿、順
そう,1,そう「そうです」,是、沒有錯
そう,0,そう,那樣
そう,0,沿う/添う,沿、順、按照/跟隨
そう,,艘,艘、隻
そう,,総,全體、總
そう,1,相,姿態、相貌
そう,1,僧,憎侶
ぞう,1,象,象
ぞう,1,像,像
そうい,0,相違,差異
そういえば,4,そう言えば,說起來
そうおう,0,相応,適應、相稱
そうおん,0,騒音,噪音
ぞうか,0,増加,增加
そうかい,0,総会,全體大會
そうかん,0,創刊,創刊
ぞうき,0,雑木,不成材的樹木
そうきゅう/さっきゅう,0,早急,緊急、火急
ぞうきょう,0,増強,加強
そうきん,0,送金,寄銭
ぞうきん,0,雑巾,抹布
ぞうげん,0,増減,增減
そうこ,1,倉庫,倉庫
そうご,1,相互,互相
そうこう,0,走行,行駛
そうごう,0,総合,綜合
そうさ,1,操作,操縱
そうさ,1,捜査,搜查
そうさく,0,創作,創作
そうさく,0,捜索,搜索
そうじ（する）,0,掃除（する）,掃除、打掃
そうしき,0,葬式,葬禮
そうしつ,0,喪失,喪失
そうして/そして,0,そうして/そして,然後、於是、而且
そうじゅう,0,"操縦
彼は飛行機を操縦できる",駕駛、操縱
ぞうしょう,0,蔵相,藏相、(日本的)財務大臣
そうしょく,0,装飾,裝飾
ぞうしん,0,"増進
健康を増進する
理解を増進する",增進
ぞうせん,0,造船,造船
そうぞう,0,想像,想像
そうぞう,0,創造,創造
そうぞうしい,5,騒々しい,吵雜、喧囂、不安定
そうぞく,0,"相続
親の財産を相続する",繼承（如：繼承父母財産）
そうたい,0,相対/早退,相對
そうだい,0,壮大,宏偉
ぞうだい,0,"増大
ストレス/被害/リスクが増大する",增多
そうだん（する）,0,相談（する）,商量
そうち,1,装置,裝置
そうとう,0,相当,適合、相當於
そうどう,1,騒動,鬧事、暴亂
そうなん,0,遭難,遇難
そうば,0,相場,行情、投機買賣、常例
そうび,1,装備,裝備
そうべつ,0,送別,送行
ぞうり,0,草履,草鞋
そうりだいじん,4,総理大臣,總理大臣
そうりつ,0,創立,創立
そうりょう,1,送料,運費
そえる,0,添える,附帶、添
ソース,1,sauce/source,醬料/來源
そく,,足,雙（兩足並跳次數）
そくざに,1,即座に,立即、當場
そくしん,0,促進,促進
そくする,3,即する,切合
ぞくする,3,属する,屬於
ぞくぞく,0,続々,接連不斷、陸續
そくたつ,0,速達,快遞
そくてい,0,測定,測量
そくど,1,速度,速度
そくばく,0,束縛,束縛、限制
そくめん,0,側面,方面
そくりょう,0,測量,測量
そくりょく,2,速力,速度
そこ,0,其処,那邊、那裏
そこ,0,底,底面、底層邊際
そこで,0,そこで,因此、於是
そこなう,3,損なう,損壞
そこら,2,其処ら,哪哩、哪個程度
そざい,0,素材,題材、原料
そし,1,阻止,阻止
そしき,1,組織,組織、工會團體
そしつ,0,素質,本質、天質
そして,0,そして,然後
そしょう,0,訴訟,訴訟
そせん,1,祖先,祖先
そそぐ,0,注ぐ,注入、傾注
そそっかしい,5,そそっかしい,冒失、草率
そだち,3,育ち,生長、教育環境
そだつ,2,育つ,成長、長進
そだてる,3,育てる,養育、培養
そち,1,措置,措施
そちら,0,そちら,那邊、那個
そつぎょう（する）,0,卒業（する）,畢業
ソックス,1,socks,短襪子
そっくり,3,そっくり,全部、一模一樣
そっけない,4,素っ気無い,冷淡
そっち,3,そっち,那邊、那個
そっちょく,0,率直,坦率
そっと,0,そっと,悄悄地
そっぽ,1,外方,外邊、旁邊
そで,0,袖,袖子
そと,1,外,外面、室外
そなえつける,0,備え付ける,配備、設置
そなえる,3,備える、具える,防備、設置、具有
そなわる,3,備わる、具わる,備有、列入、具有
その,0,其の,那、那個
そのうえ,0,其の上,而且、再加上、況且
そのうち,0,其の内,不久、過些日子、改天
そのころ,3,其の頃,那個時候
そのため,0,其の為,因此、所以
そのほか,2,其の外,除此之外
そのまま,4,其の儘,原封不動、…就原樣的
そば,1,側,旁邊、附近、局外
そば,1,蕎麦,蕎麥、蕎麥麵
そびえる,3,聳える,聳立、出類拔萃
そふ,1,祖父,袓父
ソファー,1,sofa,沙發
ソフト,1,soft,軟體、柔軟
そぼ,1,祖母,袓母
そぼく,0,素朴,樸素、簡單
そまつ,1,粗末,粗糙、簡慢
そまる,0,染まる,染上、沾染
そむく,2,背く,背著、背叛
そめる,0,染める,染(色)、羞得面紅耳赤
そら,1,空,天空、天氣、虛假
そらす,2,逸らす,躱開、偏開
そり,1,橇「〜に乗る」,雪橇
そる,1,剃る,剃、刮
そる,1,反る,翹、身體向後彎
それ,0,其れ,那、那個
それ,1,それ,喂、瞧
それから,0,其れから,接著、然後
それぞれ,2,夫々、其々,各自、分別
それで,0,其れで,所以、那麼、後來
それでは,3,其れでは,那麼、那樣的話
それでも,3,其れでも,儘管如此
それと,0,其れと,因此、那麼
それとも,3,其れとも,或者、還是
それなのに,3,其れなのに,儘管…可是
それなら,3,其れなら,那麼、那樣的話
それに,0,其れに,儘管那樣、而且、加上
それはいけませんね。,,それは-いけませんね。,那樣不行喔
それほど,0,其れ程,那麼、那種程度
それゆえ,0,其れから,因此、所以
それる,2,逸れる,偏離、落空
ソロ,1,solo,獨奏、獨唱、單獨
そろい,2,揃い,一套、整齊
そろう,2,揃う,齊全、一致、成對
そろえる,3,揃える,使一致、弄齊
そろそろ,1,そろそろ,慢慢地、漸漸地、差不多、不久
そろばん,0,算盤,算盤、計算
そん,1,損,賠錢、吃虧
そんがい,0,損害,損失、損害
そんけい,0,尊敬,尊敬
そんざい,0,存在,存在
ぞんざい,3,ぞんざい,草率、粗魯
そんしつ,0,損失,損害、損失
ぞんじる．ずる,0,存じる/存ずる,〔謙讓語〕知道、認識
そんぞく,0,存続,繼續、存在
そんちょう,0,尊重,尊重
そんとく,1,損得,損益、盈虧
そんな,0,そんな,(連體)那樣的
そんなに,0,そんなに,那麼、那樣、那樣地
た,1,他,別的、他人
た/たんぼ,,田/田圃,田地、稻田
ダース,1,dozen,打
たい,1,対,對、…比…、面對面
たい,1,隊,隊伍、隊
たい,,帯,帶…、地帶
だい,,台,輛、台
だい,,代,費、年代、多歳
だい,1,大,大、大學
だい,1,台,高台、台地
だい,1,題,題目、命題
だい,1,第,第
たいいく,1,体育,體育
だいいち,1,第一,首先、第一
たいいん（する）,0,退院（する）,出院
たいおう,0,対応,對應、符合
たいおん,0,体温,體溫
たいか,1,大家,權威、名門
たいか,1,退化,退步、退化
たいかい,0,大会,大會
たいがい,0,大概,大概
たいかく,0,体格,體格
たいがく,0,退学,退學
だいがく,0,大学,大學
だいがくいん,4,大学院,研究所
だいがくせい,3,大学生,大學生
たいき,1,大気,大氣
たいきん,0,大金,巨款
だいきん,0,代金,代金、貨款
だいく,1,大工,木匠
たいぐう,0,待遇,待遇
たいくつ,0,退屈,無聊
たいけい,0,体系,體系、系統
たいけつ,0,対決,對質
たいけん,0,体験,體驗
たいこ,0,太鼓,鼓
たいこう,0,対抗,對抗
たいざい,0,滞在,停留
たいさく,0,対策,對策
たいし,1,大使,大使
たいじ,0,退治,懲辦、撲滅
だいじ,3,大事,重要的
たいしかん,3,大使館,大使館
たいした,1,大した,了不起的、（與否定語呼應）沒什麼了不起的
たいして,1,大して,（與否定語呼應）並不那麼
たいしゅう,0,大衆,大眾
たいじゅう,0,体重,體重
たいしょ,1,対処,應付
たいしょう,0,対象,對象
たいしょう,0,対照,對照、對比
だいしょう,1,大小,大小
だいじょうぶ,3,大丈夫,不要緊、沒關係
たいしょく,0,退職,退休、退職
だいじん,1,大臣,國務大臣
だいすき,1,大好き,最喜歡
たいする,3,対する,面對、對待、對於
だいする,3,題する,標題
たいせい,0,体制,體制、當局
たいせい,0,態勢,狀態
たいせき,1,体積,體積
たいせつ,0,大切,重要、寶貴
たいせん,0,大戦,大戰
たいそう,0,体操,體操
たいそう,1,大層,非常
だいたい,0,大体,大致、基本上、根本
たいだん,0,対談,對談
だいたん,3,大胆,大膽
たいてい,0,大抵,大抵、大體上、基本上
たいど,1,態度,態度
たいとう,0,対等,對等、同等
だいとうりょう,3,大統領,總統
だいどころ,0,台所,廚房
タイトル,1,title,標題、題目
だいなし,0,台無し,弄壞
たいのう,0,滞納,拖欠
とどこおる,4,滞る,停滯、延遲、拖延
たいはん,0,大半,大半、大部分
たいひ,1,対比,對比
タイピスト,3,typist,打字員
だいひょう,0,代表,代表
たいぶ,1,大部,大量、大部頭
タイプ,1,type,類型、打字
だいぶ,0,大分,很、相當
たいふう,3,台風,颱風
だいぶぶん,3,大部分,大部分
タイプライター,4,typewriter,打字機
だいぶん,0,大分,很、相當
たいへん,0,大変「たいへん暑い」,很、非常
たいへん,0,大変「それはたいへんですね」,嚴重、不得了
だいべん,0,代弁,為…代言、代為辯解、替人賠償
だいべん,0,大便,大便、糞便
たいほ,1,逮捕,逮捕
たいぼう,0,待望,期望
たいぼく,0,大木,很大的樹木
だいほん,0,台本,劇本、腳本
タイマー,1,timer,定時器
たいまん,0,怠慢,怠慢
タイミング,0,timing,時機
タイム,1,time,時間、時、時代
タイムリー,1,timely,適時、及時
だいめい,0,題名,題名
だいめいし,3,代名詞,代名詞
たいめん,0,対面,見面
タイヤ,0,tire,輪胎
ダイヤ,0,diagram/diamond,時刻表/鑽石
ダイヤグラム,0,diagram,圖表、時刻表
ダイヤモンド,4,diamond,鑽石
ダイヤル,0,dial,撥號盤、刻度盤
たいよう,1,太陽,太陽
だいよう,0,代用,代用
たいら,0,平ら,平、平坦
だいり,0,代理,代理
たいりく,0,大陸,大陸
たいりつ,0,対立,對立
たいりょく,1,体力,體力
タイル,1,tile,磁磚、瓦片
たいわ,0,対話,對話
たいわん,3,台湾,臺灣
たうえ,3,田植え,插秧
ダウン,1,down,下降、倒下、羽毛
たえず,1,絶えず,不斷地
たえる,2,堪える、耐える,耐、忍耐、能夠
たえる,2,絶える、断える,斷絕
だえん,0,楕円,橢圓
たおす,2,倒す,推倒、弄倒
タオル,1,towel,毛巾
たおれる,3,倒れる,倒塌
すたれる,3,廃れる,衰退、廢棄、過時
だが,1,だが,但是
たかい,2,高い「高い山」,高
たかい,2,高い「値段が高い」,(價錢)貴
たがい,0,互い,彼此、相互
だかい,0,打開,打開
たかまる,3,高まる,高漲
たかめる,3,高める,提高
たがやす,3,耕す,耕
たから,0,宝,寶
だから,1,だから,因為、因此、所以
たき,0,滝,瀑布
たきび,0,焚き火,篝火
だきょう,0,妥協,妥協
たく,0,宅,家
たく,0,炊く,煮、燒
だく,0,抱く,抱、孵
たくさん,,沢山,許多、很多
タクシー,1,taxi,計程車
たくましい,4,たくましい,健壯、旺盛
たくみ,1,巧み,靈巧、技巧
たくわえる,0,蓄える,積蓄、儲存
たけ,0,竹,竹
たけ,2,丈,長度、長短
だけ,0,だけ,只
だげき,0,打撃,打擊
だけつ,0,妥結,妥協、達成協議
だけど,0,だけど,但是
ださく,0,駄作,拙劣的作品
たしか,1,確か「〜3年前だった」,的確、大概
たしか,1,確か,的確、確實、確定
たしかめる,4,確かめる,査認、確認
たしざん,2,足し算,加法
たしょう,0,多少,多少、一點兒
たす,0,足す,足夠
だす,1,出す,拿出、提出
だす,,出す,起來
たすうけつ,2,多数決,多數表決
